ElementName,s,betax,betay,alphax,alphay,etax,etay,xAperture,yAperture,xmin,xmax,ymin,ymax,sigma_x,sigma_y,Particles,Cx,Cy,Charge,ElementCodes
BM1,2.05904,9.435747221502432,203.73422188523,-13.29704490452921,-232.0771603635953,0.08511087752336699,-0.000985812889022819,34.93915904345853,11.62755941177792,,,,,,,4210,-3.831997369179815,-3.639985525838203,4.5467999999999995e-11,0
BM1,2.107822222222222,10.75823383701972,227.0056173315138,-13.79667585217222,-244.9735098929025,0.1047577923122362,-0.001045358074662582,34.93080299603111,11.58776296624961,,,,,,,3920,-4.022339674394247,-3.442417560894861,4.2336e-11,0
BM1,2.156604444444444,12.1243600135556,251.535180772838,-14.19128871913221,-257.8698355375578,0.1263335635334833,-0.001104169416793436,34.921885131186365,11.54796653096468,,,,,,,3647,-4.15721807901977,-3.339520591868551,3.9387599999999997e-11,0
BM1,2.205386666666666,13.52372534853365,277.3229006947374,-14.47788030124478,-270.7661350869938,0.149797094241732,-0.001162178972078665,34.91240936215733,11.50817010073535,,,,,,,3431,-4.308713646295886,-3.2197092832809022,3.7054799999999996e-11,0
BM1,2.254168888888888,14.94567648832872,304.3687648268702,-14.65426969897708,-283.662406380292,0.1751036922798344,-0.001219320324368447,34.90237995133576,11.46837366957696,,,,,,,3227,-4.377492250044994,-3.002301172810258,3.48516e-11,0
BM1,2.30295111111111,16.37938824913973,332.6727601764778,-14.71911491236154,-296.5586473102955,0.2022051555407171,-0.00127552871118905,34.89180150168158,11.42857723082041,,,,,,,3025,-4.386069371707487,-2.839219498806738,3.2669999999999995e-11,0
BM1,2.351733333333332,17.81394604420276,362.2348730640117,-14.67192304883173,-309.454855827619,0.2310498639205507,-0.001330741147077465,34.88067894745835,11.38878077723111,,,,,,,2836,-4.545799355415193,-2.712249776736481,3.06288e-11,0
BM1,2.400515555555554,19.23842898940874,393.0550891608418,-14.51305406637242,-322.3510299445487,0.2615828777867527,-0.001384896543526358,34.86901754431302,11.34898430113342,,,,,,,2673,-4.545088412991606,-2.630843310489364,2.88684e-11,0
BM1,2.449297777777776,20.64199305426147,425.1333935289479,-14.24371802363181,-335.2471677388248,0.2937460427718698,-0.001437935825310702,34.85682285871857,11.30918779453958,,,,,,,2512,-4.381689558838849,-2.478981634795928,2.71296e-11,0
BM1,2.498079999999999,22.01395362481183,458.4697706995395,-13.86596585809405,-348.114165932826,0.3274794843545765,-0.001489802042974423,24.94545030672182,23.969374483054,,,,,,,2373,-4.2868945574037385,-2.445932446713487,2.56284e-11,0
ML,2.498079999999999,22.01395362481183,458.4697706995395,-13.86596585809405,-348.114165932826,0.3274794843545765,-0.001489802042974423,24.94545030672182,23.969374483054,,,,,,,2233,-3.230085978782687,-2.5096646300729293,2.41164e-11,24
LM1L2,2.548913333333332,23.44634586300497,494.5443976139858,-14.31224210636112,-361.5506258267727,0.3634272943294073,-0.001522222010152259,24.94009714933184,23.92790285061283,,,,,,,2155,-2.8504515594271767,-2.6598823776337692,2.3274e-11,16
LM1L2,2.599746666666665,24.92410951977193,531.98506461765,-14.7585183546282,-374.9870857207194,0.3993751043042381,-0.001554641977330095,24.93467502269002,23.88643069752115,,,,,,,2079,-2.537062199379758,-2.790381311777894,2.24532e-11,16
LM1L2,2.650579999999998,26.44724459511271,570.7917717105321,-15.20479460289527,-388.4235456146661,0.4353229142790689,-0.001587061944507932,24.92918391176438,23.84495802377858,,,,,,,1998,-2.2985244900658937,-2.871004239346853,2.15784e-11,16
LM1L2,2.701413333333332,28.0157510890273,610.9645188926321,-15.65107085116234,-401.8600055086127,0.4712707242538998,-0.001619481911685768,24.92362380094677,23.80348482938475,,,,,,,1927,-2.102679689160589,-2.945960345880253,2.08116e-11,16
LM1L2,2.752246666666665,29.62962900151572,652.50330616395,-16.09734709942942,-415.2964654025594,0.5072185342287305,-0.001651901878863604,24.91799467405223,23.76201111433926,,,,,,,1856,-1.844631120519855,-3.066870985141934,2.0044799999999998e-11,16
LM1L2,2.803079999999998,31.28887833257795,695.4081335244858,-16.54362334769649,-428.7329252965061,0.5431663442035614,-0.00168432184604144,24.9122965143183,23.72053687864164,,,,,,,1776,-1.7669535668249778,-3.172243702250967,1.91808e-11,16
Q1L2,2.848079999999998,31.50528249441236,764.1332128778593,11.79973918837803,-1119.053130676471,0.5638114541883456,-0.001773770313215466,24.906927677177162,23.6575804053984,,,,,,,1742,-1.6541079144860928,-3.288296086315856,1.8813599999999998e-11,29
Q1L2,2.893079999999998,29.22180929024297,902.3205182071052,38.25721105538274,-1993.120566516781,0.5616968690221051,-0.00199003232901283,24.90056968992944,23.54008000087264,,,,,,,1728,-1.52097288762183,-3.5913533963987563,1.86624e-11,29
Q1L2,2.938079999999998,24.80341431273709,1132.660245306304,58.60023274665451,-3194.456095382865,0.5369079503163903,-0.002346687080538032,24.89212675979367,23.36326070774139,,,,,,,1719,-1.269551350483553,-3.969783823953684,1.85652e-11,29
Q1L2,2.983079999999998,18.95626654811691,1492.973911098323,69.57748538337938,-4920.317622401458,0.4904453672527204,-0.0028654377476129,24.879687860720452,23.11993601736083,,,,,,,1709,-0.9517699181462372,-4.552113688858492,1.84572e-11,29
LL2M2,3.033913333333331,12.54259747189885,2035.107865230862,56.59305382091024,-5744.612622828806,0.4263457659025016,-0.003553702373910285,24.860353267150142,22.80405612382361,,,,,,,1614,-0.5641084819069389,-4.828881345947562,1.74312e-11,8
LL2M2,3.084746666666665,7.449012271198495,2661.045144406848,43.60862225844109,-6568.907623256154,0.3622461645522828,-0.00424196700020767,24.83698035384194,22.48817453875238,,,,,,,1433,-0.1654026624174705,-4.257649919073711,1.54764e-11,8
LL2M2,3.135579999999998,3.675510946015831,3370.78574862628,30.62419069597195,-7393.202623683502,0.298146563202064,-0.004930231626505055,24.80955454950507,22.17229126214923,,,,,,,1291,0.3355689449272347,-3.9020055153630997,1.39428e-11,8
