s,betax,betay,alphax,alphay,etax,etay,xAperture,yAperture,xmin,xmax,ymin,ymax,sigma_x,sigma_y,Particles,p,Cx,Cy,Charge,Temp
4.526159999999995,5.099487531481679,68.98717370752505,-4.36391780353879,14.39768636249588,0.48808283938634,-0.0061388009567504,24.40193031900061,19.95427091830194,-24.451736433412982,24.9512305085614,-14.10246608615909,14.49181220448014,10.953214375495511,6.122621397090549,10577,400.0007358134867,0.6745771093738697,5.821153879668208,1.142316e-10,30
4.571159999999995,5.558955032547016,66.95663986778273,-5.883592053849187,30.56099961141913,0.5136132590957178,-0.0058544378765545,24.393593171346502,20.029218169512383,-24.02567011778224,24.767853338520148,-13.89392929110932,14.313821087180822,11.35801580101537,6.036866373749097,10488,400.0007358134867,0.6331043076651273,5.746995946682545,1.132704e-10,30
4.622097499999994,6.1749699613993,63.87946912731212,-6.209952561655765,29.84971431193019,0.5456265470267606,-0.005464853808117,24.38684161908168,20.14489805699846,-24.84961083427247,24.92436259475721,-13.57215278458388,14.02492121791441,11.78212390323554,5.899785143026804,10333,400.0007358134867,0.5801282109907179,5.633848445981196,1.1159639999999997e-10,9
4.673034999999994,6.824232866984378,60.87476057672696,-6.536313069462342,29.13842901244125,0.5776398349578035,-0.0050752697396795,24.37952158181818,20.26054202739424,-24.791576152323728,24.864514982069,-13.25037627805843,13.736021348648013,12.08948655562558,5.751751485406316,10118,400.0007358134867,0.4842247741904357,5.538533052395389,1.092744e-10,9
4.723972499999994,7.506743749302252,57.94251421602723,-6.86267357726892,28.4271437129523,0.6096531228888463,-0.0046856856712421,24.37163463144806,20.3761500799132,-24.79369850122836,24.93460458205005,-12.928599771532989,13.447121479381613,12.37757683883046,5.615468789645977,9900,400.0007358134867,0.3907366601369229,5.432574037220994,1.0691999999999999e-10,9
4.774909999999994,8.22250260835292,55.08273004521293,-7.189034085075497,27.71585841346336,0.6416664108198892,-0.0042961016028046,24.36318229493631,20.49172221361397,-24.9465848962366,24.974160643990768,-12.60682326500755,13.1582216101152,12.59619502849605,5.479501212087118,9654,400.0007358134867,0.2391638851808143,5.330928168011775,1.042632e-10,9
4.825847499999994,8.971509444136384,52.29540806428408,-7.515394592882075,27.00457311397442,0.673679698750932,-0.0039065175343672,24.35416605487364,20.6072584274003,-24.94536995765278,24.92325551165969,-12.29085297105442,12.8693217408488,12.77685109861987,5.338213965784966,9402,400.0007358134867,0.165811199694854,5.242506490702833,1.015416e-10,9
4.876784999999994,9.753764256652644,49.58054827324065,-7.841755100688652,26.29328781448548,0.7056929866819749,-0.0035169334659297,24.34458735001012,20.72275872002108,-24.90207645267549,24.9228363450318,-11.97798339010508,12.58337848224551,12.92794726007872,5.198725211596438,9145,400.0007358134867,0.1644942460343721,5.140085569110191,9.876599999999999e-11,9
4.927722499999994,10.5692670459017,46.93815067208266,-8.16811560849523,25.58200251499654,0.7377062746130177,-0.0031273493974923,24.33444757577017,20.83822309007027,-24.97405674222326,24.98084065145364,-11.66511380915575,12.29807379560058,13.03423798945491,5.071805243118032,8878,400.0007358134867,0.1792248701991733,5.023311405725212,9.58824e-11,9
4.978659999999993,11.41801781188355,44.36821526081011,-8.494476116301808,24.87071721550759,0.7697195625440606,-0.0027377653290548,24.32374808474931,20.95365153598688,-24.8447750771277,24.954881328992062,-11.352244228206407,12.01276910895566,13.13025860130264,4.932784211053478,8621,400.0007358134867,0.1870613502723136,4.911599483125962,9.310679999999999e-11,9
5.029597499999993,12.30001655459819,41.87074203942299,-8.820836624108386,24.15943191601865,0.8017328504751035,-0.0023481812606174,24.31249018719317,21.069044056054967,-24.95162997091122,24.940893161078023,-11.03937464725707,11.72746442231073,13.19507156474737,4.814245403361535,8364,400.0007358134867,0.1553995939473542,4.783214057247995,9.03312e-11,9
5.080534999999993,13.21526327404563,39.44573100792132,-9.147197131914965,23.44814661652971,0.8337461384061463,-0.0019585971921799,24.30067515145901,21.18440064840355,-24.97766488698815,24.85246407365093,-10.726505066307729,11.44215973566581,13.2898626188359,4.681356921110623,8137,400.0007358134867,0.1594535478956029,4.661147865141511,8.78796e-11,9
5.131472499999993,14.16375797022587,37.09318216630508,-9.473557639721545,22.73686131704077,0.8657594263371892,-0.0015690131237425,24.2883042044604,21.29972131100661,-24.95542158178521,24.94422616484441,-10.41363548535839,11.15685504902088,13.35858579712932,4.541910258671128,7913,400.0007358134867,0.0633816075415961,4.5621775208872,8.54604e-11,9
5.182409999999993,15.1455006431389,34.81309551457427,-9.79991814752812,22.02557601755182,0.897772714268232,-0.001179429055305,24.27537853209515,21.415006041683,-24.96393858618936,24.96200489740449,-10.10076590440905,10.87155036237596,13.38182776577054,4.405924052372153,7678,400.0007358134867,0.0957689005027564,4.451023189709257,8.29224e-11,9
5.233347499999993,16.16049129278472,32.6054710527289,-10.1262786553347,21.31429071806288,0.9297860021992748,-0.0007898449868676,24.26189927965704,21.530254838096468,-24.9649594852722,24.96489683153235,-9.787896323459709,10.58624567573103,13.39081277327576,4.269085888591829,7453,400.0007358134867,0.1675482454158054,4.346235897324639,8.04924e-11,9
5.284284999999993,17.20872991916334,30.47030878076896,-10.45263916314128,20.60300541857394,0.9617992901303176,-0.0004002609184301,24.24786755223166,21.64546769775554,-24.90118396655235,24.96443915509509,-9.47502674251037,10.30094098908611,13.422387909971189,4.119583587159057,7252,400.0007358134867,0.1836480089540539,4.248176507399156,7.83216e-11,9
5.335222499999992,18.29021652227475,28.40760869869446,-10.77899967094786,19.891720119085,0.9938125780613606,-1.067684999269964e-05,24.23328441507664,21.76064461801349,-24.967932975973508,24.94444733722451,-9.162157161561032,10.01563630244118,13.483485759945047,3.977689020355022,7074,400.0007358134867,0.1022103482087474,4.133404894502186,7.63992e-11,9
5.386159999999992,19.40495110211896,26.41737080650539,-11.10536017875443,19.18043481959606,1.025825865992403,0.0003789072184447,24.21815089398658,21.8757855960683,-24.96547263170653,24.91027110825549,-8.84928758061169,9.730331615796256,13.48795177824706,3.84908213785881,6883,400.0007358134867,0.1211544809161751,4.018034704518125,7.43364e-11,9
